Period_ID,Year,Period_Type,Revenue_Growth_YoY_Pct,Cost_Growth_YoY_Pct,Cost_Revenue_Ratio_Pct,Opex_to_Revenue_Pct,EBITDA_Margin_Pct,PAT_Margin_Pct,Capex_Intensity_Pct,Subs_Growth_YoY_Pct,Data_Subs_Growth_Pct,MoMo_Subs_Growth_Pct,Data_Rev_Growth_YoY_Pct,MoMo_Rev_Growth_YoY_Pct,Digital_Rev_Growth_YoY_Pct,Voice_Rev_Growth_YoY_Pct,ARPU_Growth_YoY_Pct,Data_Share_Pct,MoMo_Share_Pct,Voice_Share_Pct,Digital_Share_Pct,Overall_KRI_Score
2020FY,2020,Annual,,,,47.2,54.7,22.7,21.9,,,,,,,,,,33,15.8,42.4,0.9,
2021FY,2021,Annual,40,33.3,83.2,44.9,55.6,25.3,21.8,6.6,18.4,14.1,58.8,77,86.9,20.9,30.9,37.5,20,36.6,1.3,Green
2022FY,2022,Annual,44.4,46.1,103.7,45.5,56.9,27.4,20.2,3.1,11.1,4.8,67.7,56.1,83.3,27,39.7,43.5,21.6,32.2,1.6,Amber
2023FY,2023,Annual,37.7,38.4,101.9,45.7,56.7,27.9,19,2.6,6.7,2.6,47.3,61,81.3,1.3,34.3,46.6,25.3,23.7,2.1,Green
2024FY,2024,Annual,33.5,37.4,111.6,47,57.1,28.6,20.4,4.8,9.4,9.6,43.9,43.3,99.2,-11.8,27.4,50.2,27.1,15.6,3.2,Amber
2025FY,2025,Annual,36.2,7.7,21.3,49.6,60.1,32,22.7,9.5,13.7,12.2,6.9,-7.5,-45.7,7.5,-4.2,52.6,24.6,16.5,1.7,Green
