Period_ID,Year,Data_Revenue,Data_Growth_Pct,Data_Share_Pct,Voice_Revenue,Voice_Growth_Pct,Voice_Share_Pct,MoMo_Revenue,MoMo_Growth_Pct,MoMo_Share_Pct,Digital_Revenue,Digital_Growth_Pct,Digital_Share_Pct,SMS_Revenue,Other_Revenue
2020FY,2020,2125,,33,2725,,42.4,1017,,15.8,61,,0.9,220,282
2021FY,2021,3375,58.8,37.5,3295,20.9,36.6,1800,77,20,114,86.9,1.3,208,208
2022FY,2022,5660,67.7,43.5,4185,27,32.2,2810,56.1,21.6,209,83.3,1.6,200,-64
2023FY,2023,8340,47.3,46.6,4240,1.3,23.7,4525,61,25.3,379,81.3,2.1,184,232
2024FY,2024,12005,43.9,50.2,3740,-11.8,15.6,6485,43.3,27.1,755,99.2,3.2,160,755
2025FY,2025,12835,6.9,52.6,4020,7.5,16.5,6000,-7.5,24.6,410,-45.7,1.7,148,987
