Period_ID,Year,Period_Type,GDP_Growth_Pct,Inflation_YoY_Pct,Policy_Rate_Pct,Cedi_USD_Avg,Cedi_USD_YoY_Change_Pct,Telecom_Sector_GDP_Share_Pct,Mobile_Penetration_Pct,Data_Penetration_Pct
2020FY,2020,Annual,0.5,9.9,14.5,5.73,-3.5,2.4,134,52
2021FY,2021,Annual,5.4,12.6,14.5,5.95,-3.8,2.5,140,58
2022FY,2022,Annual,3.1,54.1,27,8.95,-50.4,2.6,143,64
2023FY,2023,Annual,2.9,23.2,30,11.5,-28.5,2.8,145,68
2024FY,2024,Annual,5.7,23.8,27,14.8,-28.7,3,148,72
2025FY,2025,Annual,6.5,5.4,16,11.6,21.6,3.3,151,76
2026Q1,2026,Quarter,,3.2,14,11.0,,,,
