Period_ID,Year,Period_Type,Service_Revenue,Service_Revenue_Flag,Service_Rev_Growth_Pct,EBITDA,EBITDA_Flag,EBITDA_Growth_Pct,EBITDA_Margin_Pct,PAT,PAT_Flag,PAT_Growth_Pct,PAT_Margin_Pct,EPS_GHS,EPS_Growth_Pct,Total_Opex,Capex,Capex_Intensity_Pct,Dividend_Per_Share_GHS,Total_Assets,Total_Liabilities
2020FY,2020,Annual,6430,R,,3520,R,,54.7,1460,R,,22.7,0.1108,,3035,1410,21.9,0.12,11200,8850
2021FY,2021,Annual,9000,R,40,5000,R,42,55.6,2280,R,56.2,25.3,0.173,56.1,4045,1960,21.8,0.137,14500,11200
2022FY,2022,Annual,13000,R,44.4,7400,R,48,56.9,3565,R,56.4,27.4,0.2705,56.4,5910,2630,20.2,0.169,19800,15100
2023FY,2023,Annual,17900,R,37.7,10150,R,37.2,56.7,5000,R,40.3,27.9,0.3795,40.3,8180,3400,19,0.185,28500,21500
2024FY,2024,Annual,23900,R,33.5,13660,R,34.6,57.1,6845,R,36.9,28.6,0.5196,36.9,11240,4880,20.4,0.32,41400,30930
2025FY,2025,Annual,24400,R,36.2,14700,R,43.5,60.1,7800,R,55.9,32,0.5923,55.9,12100,5545,22.7,0.48,49500,36800
